113185	118510
153596	123035
153597	123138
153596	123164
153596	123153
153596	123281
153596	123170
153596	123190
153596	123130
153596	123130
153596	123164
153596	123071
153596	123035
153596	123131
153596	123109
153596	123072
153596	123155
153596	123165
153596	123108
153596	123143
153596	123129
153596	123281
153596	123170
153596	123131
153597	123109
153597	123153
153597	123035
153597	123281
153597	123166
153597	123138
153597	123131
153597	123184
153597	123190
153597	123185
153597	123109
153597	123280
153597	123072
153597	123130
153597	123170
153597	123170
153597	123155
153597	123184
153597	123167
153597	123190
153597	123035
153597	123185
153597	123280
153597	123071
153597	123130
153597	123129
153597	123035
153597	123109
153597	123071
153597	123153
153597	123168
153597	123166
153597	123112
153597	123190
153598	123190
153598	123072
114922	116402
153598	123280
114890	116436
114922	116402
153598	123155
114919	116405
153598	123191
114919	116405
153598	123109
114917	116406
114917	116406
153598	123168
114916	116407
153598	123183
153598	123129
153598	123130
153598	123072
153598	123191
114911	116411
153598	123279
114913	116409
114911	116412
114911	116412
153598	123110
114910	116412
114909	116414
114909	116414
153583	123174
114908	116415
153583	123054
114902	116421
114902	116421
114900	116424
153583	123051
153583	123054
114900	116424
153583	123181
114898	116427
114893	116432
153583	123054
114893	116432
114893	116432
114893	116432
114890	116436
114890	116436
153583	123051
153583	123071
114890	116436
114890	116436
114887	116440
114883	116443
114883	116443
114880	116447
114879	116448
114879	116448
114879	116448
114879	116448
114877	116451
114877	116451
114874	116454
114873	116456
114873	116456
114873	116456
114872	116456
153598	123278
153598	123130
153583	123055
153583	123070
153583	123065
153583	123042
153583	123175
153583	123065
153583	123074
153583	123186
153583	123099
153583	123064
153583	123062
153583	123062
153583	123112
153583	123067
153583	123043
153583	123041
153583	123100
153583	123183
153583	123061
153583	123185
153583	123070
153583	123064
153583	123186
153583	123174
153583	123110
153583	123043
153583	123055
153583	123110
153583	123041
153583	123063
153583	123065
153583	123160
153583	123063
153583	123040
153583	123055
153583	123098
153583	123076
153583	123060
153583	123064
153584	123055
153584	123171
153584	123099
153584	123063
153584	123100
153584	123168
153584	123183
153584	123043
153584	123044
153584	123073
153584	123040
153584	123110
153584	123044
153584	123044
153584	123168
153583	123160
153584	123070
153584	123060
153584	123045
153584	123050
153584	123175
153584	123067
153584	123099
