low_col1,high_col1,low_col2,high_col2
105244,105314,68494,68576
144335,144405,73899,73981
126643,126713,111765,111847
149712,149782,83657,83739
130539,130609,134855,134937
154269,154339,68403,68485
149184,149254,130589,130671
154374,154444,135603,135685
94760,94830,121341,121423
118142,118212,139566,139648
115107,115177,86065,86147
92196,92266,126784,126866
155174,155244,103407,103489
156884,156954,124520,124602
156252,156322,99185,99267
100843,100913,136726,136808
93339,93409,109240,109322
100076,100146,76426,76508
132450,132520,144186,144268
113346,113416,135782,135864
112932,113002,116189,116271
106608,106678,147711,147793
125369,125439,134755,134837
158928,158998,87091,87173
156006,156076,144823,144905
142444,142514,108391,108473
99141,99211,113392,113474
160660,160730,133331,133413
126514,126584,100240,100322
100983,101053,108031,108113
90465,90535,123225,123307
112696,112766,91934,92016
98717,98787,79819,79901
153153,153223,106733,106815
98020,98090,105678,105760
140663,140733,128862,128944
138433,138503,108408,108490
92017,92087,130226,130308
157012,157082,70329,70411
137639,137709,72892,72974
128953,129023,100793,100875
103435,103505,129492,129574
102115,102185,106294,106376
93010,93080,94488,94570
153954,154024,119885,119967
112111,112181,76026,76108
119984,120054,146237,146319
141705,141775,102856,102938
152784,152854,78599,78681
113987,114057,138226,138308
97559,97629,146943,147025
116715,116785,120626,120708
96359,96429,67840,67922
112868,112938,118270,118352
139464,139534,121902,121984
107590,107660,147990,148072
145493,145563,134848,134930
123276,123346,123454,123536
152072,152142,149368,149450
111748,111818,111219,111301
153493,153563,110191,110273
138529,138599,70327,70409
158612,158682,93573,93655
138374,138444,110575,110657
111283,111353,85681,85763
115554,115624,143400,143482
105156,105226,89610,89692
133711,133781,91410,91492
119529,119599,134476,134558
150822,150892,74410,74492
144465,144535,77108,77190
147502,147572,89593,89675
94979,95049,71382,71464
102994,103064,133833,133915
124215,124285,141164,141246
150536,150606,136474,136556
143833,143903,118639,118721
136025,136095,106987,107069
151452,151522,120367,120449
154767,154837,91298,91380
156621,156691,94370,94452
90303,90373,106257,106339
96841,96911,123314,123396
136166,136236,118493,118575
115758,115828,131368,131450
159916,159986,120296,120378
102137,102207,92976,93058
126606,126676,135497,135579
141532,141602,133367,133449
124147,124217,148257,148339
112120,112190,92818,92900
131556,131626,119297,119379
105157,105227,117445,117527
92260,92330,123884,123966
124203,124273,79045,79127
92360,92430,134904,134986
98129,98199,138929,139011
100560,100630,105138,105220
91251,91321,75789,75871
128833,128903,114888,114970
111367,111437,128347,128429
119755,119825,84280,84362
136292,136362,84005,84087
91498,91568,99250,99332
110381,110451,97489,97571
150883,150953,140328,140410
132465,132535,75034,75116
132091,132161,82785,82867
140856,140926,134324,134406
93948,94018,73929,74011
148489,148559,79817,79899
118748,118818,80508,80590
122160,122230,73173,73255
142800,142870,128901,128983
137803,137873,70191,70273
127809,127879,149652,149734
91649,91719,136131,136213
136424,136494,88991,89073
92318,92388,128769,128851
139557,139627,106101,106183
112777,112847,71621,71703
148320,148390,90033,90115
135663,135733,137905,137987
133513,133583,137725,137807
130267,130337,113159,113241
109279,109349,85063,85145
96342,96412,147543,147625
136782,136852,71070,71152
95344,95414,87372,87454
120195,120265,117011,117093
137853,137923,121679,121761
129239,129309,73234,73316
130213,130283,142177,142259
135163,135233,124469,124551
145940,146010,86223,86305
132933,133003,150623,150705
125661,125731,111159,111241
136651,136721,100269,100351
152657,152727,101462,101544
108160,108230,71054,71136
89750,89820,112870,112952
155684,155754,121874,121956
155175,155245,78126,78208
95551,95621,117970,118052
116090,116160,102218,102300
122194,122264,90727,90809
155554,155624,119519,119601
126080,126150,140625,140707
93463,93533,78727,78809
107519,107589,103411,103493
146407,146477,149708,149790
100178,100248,112651,112733
155769,155839,95385,95467
144197,144267,73435,73517
108639,108709,117323,117405
140442,140512,97226,97308
100096,100166,76350,76432
159765,159835,70002,70084
96104,96174,137665,137747
145215,145285,81037,81119
121546,121616,146291,146373
100415,100485,120555,120637
139175,139245,117934,118016
112126,112196,123243,123325
146110,146180,98658,98740
159762,159832,120640,120722
104787,104857,135661,135743
108957,109027,70685,70767
138196,138266,121655,121737
155861,155931,125969,126051
145628,145698,99727,99809
159127,159197,148372,148454
129183,129253,140249,140331
106468,106538,141481,141563
117700,117770,93579,93661
121666,121736,75942,76024
95398,95468,119624,119706
90599,90669,142374,142456
156066,156136,84530,84612
135624,135694,75439,75521
94686,94756,87690,87772
