low_col1,high_col1,low_col2,high_col2
121849,129037,96980,105284
89484,95181,129424,137728
130425,137613,79626,87930
98281,105469,92424,100728
153804,160992,113880,122184
124327,131515,99026,107330
127148,134336,97247,105551
150176,157364,138365,146669
100798,107986,114149,122453
123118,130306,86909,95213
132644,139832,91825,100129
146705,153893,126867,135171
121508,128696,139757,148061
147004,154192,133653,141957
111415,118603,143341,150732
100224,107412,126290,134594
92534,99722,96456,104760
129359,136547,97210,105514
138546,145734,80898,89202
151096,158284,100130,108434
109883,117071,107909,116213
132177,139365,139835,148139
157086,161364,133537,141841
94100,101288,74445,82749
122179,129367,96863,105167
125740,132928,120507,128811
96984,104172,96941,105245
91631,98819,135897,144201
154688,161364,134055,142359
108054,115242,99118,107422
116147,123335,77734,86038
91122,98310,131276,139580
138581,145769,143291,150732
111503,118691,77549,85853
139425,146613,94431,102735
138003,145191,83133,91437
132536,139724,126708,135012
133464,140652,99705,108009
89484,93648,82811,91115
115767,122955,67675,72744
150465,157653,136041,144345
124994,132182,81585,89889
102889,110077,125368,133672
95831,103019,124692,132996
109360,116548,123344,131648
130325,137513,68052,76356
98082,105270,137625,145929
119977,127165,130200,138504
90517,97705,120064,128368
154116,161304,67675,75082
143323,150511,68736,77040
105294,112482,88903,97207
105063,112251,116550,124854
109879,117067,88042,96346
108329,115517,140472,148776
100885,108073,87082,95386
90911,98099,84642,92946
137429,144617,102873,111177
132113,139301,89040,97344
108140,115328,146418,150732
152688,159876,117722,126026
145436,152624,67675,75154
115658,122846,127941,136245
128678,135866,145907,150732
132720,139908,115969,124273
101050,108238,120106,128410
119888,127076,90753,99057
94966,102154,132864,141168
116975,124163,119094,127398
100605,107793,69273,77577
121793,128981,136012,144316
117983,125171,97837,106141
134115,141303,146537,150732
121069,128257,88861,97165
155571,161364,95624,103928
89484,95853,109142,117446
131728,138916,83062,91366
143014,150202,128672,136976
112506,119694,143178,150732
140457,147645,100622,108926
147689,154877,89002,97306
132062,139250,119386,127690
127933,135121,146092,150732
101298,108486,121503,129807
102241,109429,67675,75958
130715,137903,74872,83176
146821,154009,107777,116081
124115,131303,75976,84280
104704,111892,81786,90090
101625,108813,79353,87657
133783,140971,108196,116500
130956,138144,67675,75200
96225,103413,87264,95568
96582,103770,110818,119122
131431,138619,97580,105884
152873,160061,83106,91410
108655,115843,122810,131114
109796,116984,143198,150732
132415,139603,101753,110057
105410,112598,115457,123761
111456,118644,136716,145020
116024,123212,73868,82172
127075,134263,134267,142571
119345,126533,91541,99845
140109,147297,109514,117818
95376,102564,102385,110689
144760,151948,107379,115683
117269,124457,128252,136556
114268,121456,117876,126180
135886,143074,77554,85858
151872,159060,100206,108510
103508,110696,70110,78414
148680,155868,95003,103307
106417,113605,87092,95396
97041,104229,134617,142921
145064,152252,108262,116566
118844,126032,98826,107130
120590,127778,131091,139395
